,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
387,Aditya Birla Group,4.1,2.4k,Metals & Mining | Mumbai +273 other locations,"Job Security, Work Life Balance, Skill Development",None,10.2k,245,2,251,15
388,Taj Hotels Resorts and Palaces,4.2,2.4k,Hospitality | Mumbai +114 other locations,"Job Security, Company Culture, Skill Development",None,5k,165,250,180,5
389,Cholamandalam MS General Insurance,3.7,2.4k,Insurance | Chennai +394 other locations,None,"Promotions, Work Satisfaction, Skill Development",5.9k,115,16,169,4
390,Bureau Veritas,3.8,2.4k,Other | Mumbai +150 other locations,Work Life Balance,"Promotions, Salary",8.4k,147,53,184,12
391,3i Infotech,3.4,2.4k,IT Services & Consulting | Mumbai +131 other locations,None,"Promotions, Salary, Company Culture",10.7k,168,78,150,3
392,Info Edge,3.9,2.4k,Internet | Noida +70 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,11.3k,385,368,301,28
393,RMSI,3.5,2.4k,IT Services & Consulting | Hyderabad +25 other locations,None,"Promotions, Salary, Skill Development",9k,196,9,189,4
394,Axis Direct,3.7,2.4k,Financial Services | Mumbai +270 other locations,None,"Promotions, Work Satisfaction, Skill Development",4.5k,88,51,228,--
395,Delhi Public School,3.7,2.4k,Education & Training | New Delhi +277 other locations,None,Promotions,5.3k,160,113,260,8
396,Capgemini Engineering,3.3,2.4k,IT Services & Consulting | Bengaluru +28 other locations,None,"Promotions, Salary, Work Satisfaction",13.4k,403,--,140,4
397,Newgen Software Technologies,4.1,2.4k,IT Services & Consulting | Noida +32 other locations,"Job Security, Company Culture, Work Life Balance",None,11.6k,209,46,147,8
398,Aavas Financiers,3.9,2.4k,NBFC | Jaipur +295 other locations,"Job Security, Skill Development",None,5.6k,125,268,139,8
399,Cybage,3.7,2.4k,IT Services & Consulting | Pune +15 other locations,"Company Culture, Work Life Balance","Promotions, Skill Development, Salary",17.2k,213,19,272,4
400,KocharTech,3.6,2.3k,IT Services & Consulting | Kolkata +25 other locations,None,"Promotions, Salary, Work Satisfaction",3.8k,83,46,582,6
401,Straive,3.3,2.3k,IT Services & Consulting | Chennai +32 other locations,None,"Promotions, Salary, Skill Development",10.5k,225,89,124,15
402,Sopra Steria,3.9,2.3k,IT Services & Consulting | Noida +19 other locations,"Work Life Balance, Job Security, Company Culture",Promotions,14.4k,186,56,242,8
403,Xoriant,4.0,2.3k,IT Services & Consulting | Pune +23 other locations,"Work Life Balance, Company Culture, Work Satisfaction",None,11.6k,236,29,413,48
404,Lodha,4.2,2.3k,Real Estate | Mumbai +29 other locations,"Company Culture, Work Life Balance, Job Security",None,8.9k,179,176,179,9
405,Kia India,3.9,2.3k,Automobile | Anantapur +190 other locations,"Job Security, Skill Development",Promotions,8.3k,181,93,172,14
406,Apollo Pharmacy,3.7,2.3k,Pharma | Hyderabad +289 other locations,"Job Security, Skill Development","Promotions, Salary, Work Satisfaction",7.1k,195,1k,134,6
407,Akums Drugs & Pharmaceuticals Limited,4.2,2.3k,Pharma | Haridwar +39 other locations,"Job Security, Skill Development, Company Culture",None,6.3k,335,33,151,22
